,time [s],cfo_meas,cfo_demod,gain_imb,iq_imb,or_off,quadr_err,ph_err,mag_err,evm
0,45181.524,-414,-421.076324463,0.07609659433,-46.9875984192,-27.2196311951,0.10436187685,1.12977778912,0.44029945135,2.05993533134
1,45182.129,-414,-423.571685791,0.06987947971,-47.8526268005,-26.934967041,0.05315765366,1.0500099659,0.43124049902,1.81505250931
2,45182.55,-414,-421.033935547,0.06146619469,-48.9686965942,-27.1307220459,-0.04591253027,0.98947328329,0.44778966904,1.76205265522
3,45182.971,-414,-420.103546143,0.07883564383,-46.7569732666,-27.005317688,0.08158319443,1.085090518,0.44347578287,1.89420354366
4,45183.551,-432,-420.781097412,0.06605253369,-47.0482177734,-27.3585205078,0.0819195807,1.0237005949,0.4652249217,1.80584132671
5,45184.001,-432,-416.307983398,0.0937236622,-45.3367118835,-27.1724681854,0.04519962892,1.0677986145,0.48019039631,1.90312290192
6,45184.424,-414,-422.121307373,0.07438129932,-47.1579399109,-27.2541236877,-0.10911227018,1.06507349014,0.47319462895,1.86201572418
7,45185.034,-414,-423.967285156,0.09483293444,-45.2331428528,-26.917640686,-0.04709073901,1.03919517994,0.46590688825,1.81015729904
8,45185.609,-432,-424.394470215,0.08583276719,-45.1424293518,-26.9515686035,-0.05501439795,1.00874471664,0.427295506,1.75137984753
9,45186.084,-432,-420.00189209,0.06208202615,-49.1436271667,-27.3305625916,0.06252840906,1.04185676575,0.45494708419,1.87826383114
10,45186.684,-414,-421.585327148,0.10455939174,-44.4022445679,-26.7647323608,0.02882681414,1.05245041847,0.50232005119,1.93335175514
11,45187.095,-414,-419.98727417,0.0746697709,-47.0501327515,-27.1100063324,0.1280079931,1.02752840519,0.46866130829,1.81790399551
12,45187.512,-414,-413.868011475,0.07065698504,-47.7865600586,-26.9853973389,0.03696669266,1.05021739006,0.42115160823,1.84115469456
13,45187.917,-414,-421.762664795,0.08408042043,-46.23985672,-27.1346759796,0.06715548784,1.03417050838,0.42989048362,1.80383992195
14,45188.5,-432,-420.531585693,0.08025357872,-47.6895256042,-27.1559238434,0.06019787118,1.15581727028,0.48510396481,1.99076998234
15,45188.966,-432,-421.407775879,0.07406920195,-47.3937644958,-26.9984779358,0.02393469028,1.08276224136,0.41204473376,1.83994376659
16,45189.579,-414,-422.316894531,0.07678631693,-47.0526924133,-27.0083332062,0.04779083282,1.12445878983,0.42483848333,1.89931917191
17,45190.015,-414,-417.314605713,0.04332325608,-51.8101425171,-27.2133426666,0.0471829474,1.07687067986,0.41043651104,1.8817281723
18,45190.617,-432,-425.96282959,0.06340812892,-48.7535972595,-27.2905273438,0.00429448159,1.04650306702,0.42422705889,1.88063156605
19,45191.037,-432,-417.551452637,0.09327089787,-45.1799697876,-26.9406394958,0.14092387259,1.0631531477,0.45471048355,1.94161009789
20,45191.618,-414,-421.196594238,0.06129243597,-48.6379928589,-27.1828346252,0.12735250592,1.06546545029,0.46410724521,1.83882117271
21,45192.074,-414,-423.957092285,0.05748021975,-49.1876068115,-26.9122009277,0.12065529078,1.02221536636,0.43208861351,1.76864898205
22,45192.492,-414,-422.516967773,0.07895364612,-46.8478965759,-27.1868362427,-0.01008392032,1.06300640106,0.43436768651,1.94313001633
23,45192.91,-414,-418.851806641,0.07464821637,-46.8613700867,-26.8328704834,0.16745062172,1.01883196831,0.47711753845,1.87978053093
24,45193.491,-432,-421.023040771,0.07092915475,-47.5720901489,-27.1766929626,0.10371471196,1.13621556759,0.42035332322,1.97050046921
25,45193.938,-432,-418.929992676,0.04621066898,-51.442779541,-27.0706367493,0.0357731171,1.0839600563,0.42264652252,1.96021103859
26,45194.363,-414,-416.971740723,0.07351274788,-46.9398002625,-27.3166732788,0.09010385722,1.06195545197,0.47138249874,1.87934672832
27,45194.967,-414,-414.584533691,0.04899622127,-50.9775924683,-27.1285247803,0.01967948303,1.07145786285,0.40623173118,1.82090175152
28,45195.393,-414,-414.679718018,0.07960722595,-46.716468811,-27.2194786072,0.06271138042,1.09362089634,0.4156345427,1.86908471584
29,45195.997,-414,-411.249420166,0.0730445534,-46.7124443054,-27.1293754578,-0.21858142316,1.13996005058,0.43169939518,1.98587203026
30,45196.423,-414,-414.124694824,0.05709962547,-49.4369316101,-27.3304328918,0.02033518068,1.07417619228,0.4193802774,1.91693842411
31,45197.027,-414,-419.107269287,0.06843622029,-48.0818824768,-27.1220035553,0.02092086896,1.02061998844,0.43734776974,1.78488028049
32,45197.453,-414,-415.469085693,0.06851327419,-47.2393226624,-26.9313087463,0.20903451741,1.05954194069,0.47430488467,1.91111755371
33,45198.057,-414,-416.659973145,0.07864581794,-46.8507232666,-27.1181983948,-0.04513986781,1.04884886742,0.4510332346,1.88746356964
34,45198.483,-414,-410.794006348,0.06828212738,-48.0739898682,-27.1113872528,-0.04165561497,1.07582199574,0.4603048861,1.87598562241
35,45199.086,-414,-413.253845215,0.05951148272,-49.3047218323,-26.9868755341,0.00293527381,0.97703999281,0.42696139216,1.69402933121
36,45199.513,-414,-411.037353516,0.08287234604,-46.1901702881,-26.9988517761,0.12989653647,1.06284034252,0.38708582521,1.93359780312
37,45199.93,-414,-420.003479004,0.05125284567,-50.3954620361,-26.9251918793,0.07471885532,1.08570849895,0.45898357034,1.98649096489
38,45200.354,-414,-416.107849121,0.08960386366,-45.7410812378,-27.1991996765,-0.02736173756,1.10589718819,0.4678016901,1.91867256165
39,45200.958,-414,-417.837219238,0.06783008575,-48.0543861389,-26.9789390564,0.0729643479,1.00736200809,0.45222425461,1.75567471981
40,45201.385,-432,-412.962860107,0.04196625948,-51.4451522827,-27.1072921753,0.13232253492,1.09753906727,0.45936885476,1.93789196014
41,45201.997,-432,-418.522735596,0.07381151617,-47.3045387268,-26.880405426,0.08487193286,1.04268395901,0.43533858657,1.81412661076
42,45202.414,-414,-413.095581055,0.06152685359,-49.0153770447,-27.4251937866,0.00345778326,1.00338435173,0.40024939179,1.76865005493
43,45202.831,-414,-418.57409668,0.05816524476,-49.4210853577,-27.2995662689,0.0531713143,1.07307982445,0.4255220294,1.96238684654
44,45203.444,-414,-414.833526611,0.08208874613,-46.3785820007,-26.9496955872,0.09540237486,1.07265233994,0.41248738766,1.91110467911
45,45204.018,-414,-414.846496582,0.05738044158,-48.1930084229,-27.1493244171,0.00568527868,1.0174510479,0.42836341262,1.7885774374
46,45204.474,-414,-418.589080811,0.07147653401,-47.6996231079,-27.1930294037,-0.02691606805,1.12211418152,0.44091284275,1.97348928452
47,45205.05,-414,-415.54574585,0.0796174854,-48.6262969971,-27.0163707733,-0.01458789688,1.03778934479,0.41142427921,1.76513528824
48,45205.499,-414,-419.118011475,0.07255066186,-47.4948883057,-27.2160625458,0.06887391955,1.09292697906,0.44215479493,1.91690862179
49,45205.919,-414,-417.676422119,0.04683994129,-51.293636322,-27.0328731537,0.04500454292,1.06123125553,0.44906538725,1.84303593636
50,45206.342,-414,-419.401763916,0.09250359982,-45.473197937,-26.7755432129,-0.00694288732,1.07860898972,0.46723815799,1.91615128517
51,45206.948,-414,-411.688781738,0.08727005869,-45.7940139771,-27.1642856598,0.12028731406,1.09577703476,0.41873908043,1.97394192219
52,45207.376,-432,-418.905487061,0.08407427371,-45.6068153381,-26.9718780518,0.2313811928,1.03384029865,0.43110013008,1.85488069057
